OBJECTID,TRACT,BLKGRP,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,SHAPE_Length,SHAPE_Area
67,001702,1,110010017021,1352,1293,605,596,5,55,0,32,47,17,15,1,99,554,583,4,55,0,3,44,17,15,1,1159,528,518,4,46,0,26,28,13,8,1,71,495,509,3,46,0,3,25,13,8,1,708,651,57,2960.35617137545,420660.579913675
68,001702,2,110010017022,1292,1226,415,746,1,24,1,39,47,17,14,1,113,364,742,1,23,1,5,33,16,10,0,1114,360,657,1,24,1,29,29,13,10,0,84,320,653,1,23,1,3,20,12,9,0,604,579,25,3880.77378258331,509371.670370061
69,001803,1,110010018031,1096,1067,156,823,3,8,7,70,17,9,5,0,150,107,804,2,7,7,2,16,9,5,0,920,124,704,3,8,4,52,15,9,5,0,110,90,691,2,7,4,1,14,9,5,0,530,506,24,4603.18611488633,1022507.45156333
70,001803,2,110010018032,2418,2334,198,1549,4,65,1,517,45,19,9,5,688,83,1536,2,65,1,12,28,18,2,5,1906,153,1284,2,52,1,355,35,16,6,3,471,72,1275,2,52,1,9,22,15,1,3,1082,1037,45,1647.71279923281,147740.211432821
71,001804,1,110010018041,1116,1075,154,786,3,10,0,122,22,12,6,6,261,46,779,1,10,0,0,18,4,5,3,892,118,640,2,9,0,93,18,7,5,6,196,36,636,1,9,0,0,14,4,4,3,505,483,22,1848.32106053531,194158.464539918
72,001804,2,110010018042,1262,1208,135,844,5,32,0,192,27,11,6,1,321,42,823,1,32,0,11,25,11,6,1,972,97,679,5,25,0,128,21,10,1,1,218,41,663,1,25,0,4,19,10,1,1,500,482,18,2825.76180569642,228582.971002589
73,001804,3,110010018043,2102,2027,260,1353,12,9,0,393,25,22,6,4,629,97,1331,6,9,0,11,13,7,6,4,1597,186,1089,8,8,0,250,22,19,4,3,421,76,1069,5,8,0,2,11,7,4,3,919,847,72,1792.38783020073,178977.233545745
74,001901,1,110010019011,931,901,50,747,5,10,2,87,21,14,7,0,126,32,740,2,8,2,0,19,11,4,0,741,41,608,4,9,2,53,15,12,6,0,83,27,602,2,8,2,0,15,9,3,0,406,374,32,2077.99533754211,234865.772823383
75,001901,2,110010019012,936,904,86,773,2,2,0,41,29,16,6,2,92,49,766,2,2,0,0,24,13,6,2,773,69,644,2,2,0,29,25,15,5,2,61,45,641,2,2,0,0,21,12,5,2,390,373,17,1870.33579799457,171250.162423722
76,001901,3,110010019013,1308,1270,140,903,14,14,0,199,26,13,1,1,323,84,866,4,9,0,0,22,9,1,1,1005,107,727,13,11,0,131,10,6,1,1,213,70,700,3,9,0,0,10,3,1,1,473,437,36,1855.55552084356,173116.716475513
77,001901,4,110010019014,841,812,148,600,10,10,1,43,23,13,5,0,84,120,593,4,10,1,3,22,13,5,0,671,125,481,8,8,1,28,14,10,5,0,64,100,475,4,8,1,2,13,10,5,0,334,319,15,1883.82415381201,189836.829941757
78,000801,1,110010008011,2590,2517,2139,157,3,163,0,55,28,9,46,3,304,1900,151,2,161,0,10,22,7,42,3,2374,1987,142,3,141,0,48,22,9,31,3,267,1774,138,2,139,0,7,19,7,31,3,1778,1602,176,1869.93385572986,201569.239331375
79,000801,2,110010008012,991,955,841,44,2,57,0,11,11,0,21,1,72,787,44,1,57,0,5,10,0,14,1,755,644,33,2,50,0,9,3,0,12,1,51,602,33,1,50,0,4,3,0,11,1,380,360,20,4415.59037945539,879145.584697757
80,000801,3,110010008013,2097,2047,1879,46,0,94,1,27,15,2,33,1,123,1787,43,0,94,1,7,13,0,29,1,1674,1507,42,0,79,0,18,8,2,16,1,99,1431,39,0,79,0,5,6,0,13,1,1043,933,110,5810.93827546607,1242548.02635053
81,000801,4,110010008014,1031,1007,860,69,0,60,0,18,4,2,18,0,73,810,61,0,60,0,5,3,8,12,0,888,742,61,0,55,0,11,3,8,14,0,59,699,56,0,55,0,2,2,8,14,0,327,312,15,4332.13985049809,752732.987185419
82,000802,1,110010008021,1766,1712,1425,99,3,157,1,27,19,4,30,1,153,1309,90,3,157,1,7,17,2,30,1,1530,1244,83,3,136,1,25,15,4,17,1,124,1150,80,3,136,1,5,13,2,17,1,994,929,65,5607.89075289075,1596334.00063864
83,000802,2,110010008022,1103,1063,965,8,1,75,1,13,4,4,32,2,78,902,8,0,75,1,3,2,4,31,2,908,799,6,1,71,1,9,2,4,15,2,63,748,6,0,71,1,1,1,4,14,2,429,407,22,4206.36236381636,682225.520796809
84,000901,1,110010009011,1480,1436,1307,65,2,56,0,6,12,0,30,3,63,1257,60,1,56,0,2,11,0,28,3,1083,955,50,2,48,0,3,5,0,19,3,52,912,47,1,48,0,0,5,0,18,3,553,533,20,3380.95948008013,646041.276646273
85,000901,2,110010009012,1583,1561,1448,45,0,48,0,20,12,6,8,0,102,1365,44,0,48,0,4,12,6,7,0,1213,1108,34,0,43,0,13,8,5,5,0,78,1044,33,0,43,0,1,8,5,5,0,654,620,34,5202.94601697639,1444524.63972507
86,000901,3,110010009013,4112,3949,3380,150,14,347,3,55,31,17,114,10,271,3185,145,11,343,3,16,29,16,103,7,3834,3141,149,14,341,3,48,27,17,93,10,252,2963,144,11,337,3,11,25,14,83,7,454,405,49,4877.62335509604,937956.264249726
87,000902,1,110010009021,749,730,670,33,0,26,0,1,6,7,11,1,53,624,31,0,26,0,1,5,6,8,1,570,516,22,0,20,0,1,3,3,6,1,34,484,22,0,20,0,1,3,3,5,1,317,307,10,3342.76182938385,444078.320011714
88,000902,2,110010009022,1343,1291,1191,34,4,51,1,10,22,5,29,1,54,1152,32,3,51,1,4,17,3,29,1,974,872,28,1,47,1,6,6,5,10,1,37,843,26,1,47,1,3,4,3,10,1,545,526,19,6794.29619980213,1736375.84568472
89,001001,1,110010010011,671,645,596,22,1,20,0,6,7,5,14,2,70,535,22,0,19,0,2,5,4,12,2,528,469,20,1,19,0,5,4,4,6,2,54,424,20,0,18,0,1,2,2,5,2,284,273,11,2222.12443513187,277604.198807841
90,001001,2,110010010012,1976,1909,1657,100,8,119,0,25,19,9,48,3,122,1570,99,3,116,0,7,14,5,47,2,1632,1387,86,6,95,0,21,13,7,22,2,104,1310,85,3,94,0,4,11,5,21,2,963,905,58,2854.46476293861,495574.804008411
91,001001,3,110010010013,1030,990,926,18,0,32,0,14,7,1,31,1,62,879,18,0,32,0,3,6,1,29,1,779,707,15,0,26,0,10,4,1,16,1,43,675,15,0,26,0,1,3,1,15,1,396,386,10,2605.02322757921,334698.522993233
92,001001,4,110010010014,1852,1776,1499,91,2,166,2,16,23,13,42,3,137,1386,89,2,165,2,2,19,13,40,3,1537,1243,80,2,154,2,16,14,8,18,3,107,1155,80,2,153,2,2,11,8,18,3,469,464,5,3893.3237320374,698621.786015989
93,001001,5,110010010015,798,763,652,38,3,62,0,8,9,5,22,0,37,617,38,2,62,0,7,9,5,22,0,608,520,28,2,45,0,5,3,3,3,0,26,495,28,2,45,0,4,3,3,3,0,300,293,7,2388.62292993632,295459.432707457
94,001001,6,110010010016,1109,1085,1012,29,3,33,0,8,9,0,15,0,84,938,29,2,33,0,1,8,0,14,0,834,771,20,3,26,0,8,0,0,6,0,53,727,20,2,26,0,1,0,0,5,0,422,406,16,2633.51349260107,352062.225610236
